,x,yhat,y
118,"[0.0, 0.24177937297550225, 0.6057208172050091, 1.0]",[0],[0]
119,"[1.0, 0.3554885827863297, 0.2330093924810249, 1.0]",[0],[0]
120,"[1.0, 0.2899841588809212, 0.14413773340974567, 1.0]",[0],[0]
121,"[1.0, 0.44310621234756814, 0.2184421286184003, 1.0]",[0],[0]
122,"[0.0, 0.16002586729307916, 0.3947450047949112, 1.0]",[0],[0]
123,"[0.0, 0.18113380767929693, 0.14318663839687287, 1.0]",[0],[0]
124,"[0.0, 0.5808686630407501, 0.3929935520385243, 1.0]",[0],[0]
125,"[1.0, 0.0, 0.3462944869020697, 1.0]",[0],[0]
126,"[1.0, 0.43710655347264765, 0.2084172976753833, 1.0]",[0],[0]
127,"[0.0, 0.06314458548311726, 0.26625902375284416, 1.0]",[0],[0]
128,"[0.0, 0.0, 0.40395613614541126, 1.0]",[0],[0]
129,"[1.0, 0.3338784624043374, 0.16520633334634474, 1.0]",[0],[0]
130,"[0.0, 0.23688066555479578, 0.5830157541995713, 1.0]",[0],[0]
131,"[0.0, 0.30482529942509895, 0.3304178237099385, 1.0]",[0],[0]
132,"[0.0, 0.5103948364262415, 0.44795478150351664, 1.0]",[0],[0]
133,"[0.0, 0.28271261789546714, 0.7187594285053369, 1.0]",[0],[0]
134,"[0.0, 0.12276960398350618, 0.47048962928043925, 1.0]",[0],[0]
135,"[0.0, 0.15850636497769816, 0.509184510240543, 1.0]",[0],[0]
136,"[0.0, 0.23561530559803368, 0.7048832562083217, 1.0]",[0],[0]
137,"[0.0, 0.49564779461831315, 0.7427783020797036, 1.0]",[0],[0]
138,"[0.0, 0.0, 0.6080264670528569, 1.0]",[0],[0]
139,"[0.0, 0.2151364368684027, 0.5443287342203527, 1.0]",[0],[0]
140,"[0.0, 0.21015108794372853, 0.8460972970351694, 1.0]",[0],[0]
141,"[0.0, 0.30953551377999505, 0.6858432471439189, 1.0]",[0],[0]
142,"[1.0, 0.15728241200778603, 0.23379294269612466, 1.0]",[0],[0]
143,"[0.0, 0.5249430855159181, 0.5166094972793265, 1.0]",[0],[0]
144,"[0.0, 0.04599829346438863, 0.6297884418035771, 1.0]",[0],[0]
145,"[1.0, 0.5570606068642352, 0.23707015971423442, 1.0]",[0],[0]
146,"[0.0, 0.19267345865350466, 0.34343967580488716, 1.0]",[0],[0]
147,"[0.0, 0.3551706528151837, 0.5239863445691904, 1.0]",[0],[0]
148,"[0.0, 0.22867401987542, 0.5885783416748782, 1.0]",[0],[0]
149,"[0.0, 0.31507100122709425, 0.7396748430487368, 1.0]",[0],[0]
150,"[1.0, 0.42729029555599873, 0.16049783195013748, 1.0]",[0],[0]
151,"[1.0, 0.249875382177362, 0.27043193300188106, 1.0]",[0],[0]
152,"[0.0, 0.47416105728062796, 0.4506479214865148, 1.0]",[0],[0]
153,"[0.0, 0.6562559241104086, 0.47120623447880433, 1.0]",[0],[1]
154,"[0.0, 0.47139557087503, 0.5828252790906526, 1.0]",[0],[0]
155,"[0.0, 0.4060347211544043, 0.40341269387164824, 1.0]",[0],[0]
156,"[0.0, 0.434798047695918, 0.6543939367141711, 1.0]",[0],[0]
157,"[0.0, 0.026441954830436556, 0.4870004447555659, 1.0]",[0],[0]
158,"[0.0, 0.18095813532348903, 0.34048534843236866, 1.0]",[0],[0]
159,"[1.0, 0.37338867749584326, 0.22080198026881956, 1.0]",[0],[0]
160,"[1.0, 0.5507368479693028, 0.2539117100152851, 1.0]",[0],[0]
161,"[0.0, 0.15094131079718473, 0.5001426745264118, 1.0]",[0],[0]
162,"[0.0, 0.44715183065225156, 0.3671548468252599, 1.0]",[0],[0]
163,"[0.0, 0.2429583487444218, 0.5693611160885186, 1.0]",[0],[0]
164,"[0.0, 0.18700646367858795, 0.4535523746216546, 1.0]",[0],[0]
165,"[0.0, 0.2907669753022513, 0.5683678860862011, 1.0]",[0],[0]
166,"[0.0, 0.5510960688148101, 0.8178425057309024, 1.0]",[0],[0]
167,"[0.0, 0.3343959170695763, 0.8057483702889751, 1.0]",[0],[0]
168,"[0.0, 0.1476798471083795, 0.47045666300802946, 1.0]",[0],[0]
169,"[0.0, 0.2757979204257802, 0.5311941377650421, 1.0]",[0],[0]
170,"[1.0, 0.12787618255935748, 0.25467759713641014, 1.0]",[0],[0]
171,"[0.0, 0.4464978656761423, 0.43548314517302655, 1.0]",[0],[0]
172,"[1.0, 0.3753244167109853, 0.13651642780559856, 1.0]",[0],[0]
173,"[0.0, 0.39431211656921084, 0.6175358769712217, 1.0]",[0],[0]
174,"[1.0, 0.6005649733056408, 0.18360576452400043, 1.0]",[0],[0]
175,"[1.0, 0.3897804887600067, 0.2451430933303976, 1.0]",[0],[0]
176,"[0.0, 0.5408773394692327, 0.4222886059561955, 1.0]",[0],[0]
177,"[0.0, 0.27352717049715514, 0.5664038656138165, 1.0]",[0],[0]
178,"[0.0, 0.0, 0.6129060226182108, 1.0]",[0],[0]
179,"[0.0, 0.3601397323533144, 0.13828582669194125, 1.0]",[0],[0]
180,"[0.0, 0.13903754236086488, 0.5172537347113926, 1.0]",[0],[0]
181,"[1.0, 0.7169322908249265, 0.16064813573477751, 1.0]",[0],[1]
182,"[0.0, 0.24504118187479862, 0.6368323965990472, 1.0]",[0],[0]
183,"[0.0, 0.05415871853700422, 0.6523339076890707, 1.0]",[0],[0]
184,"[0.0, 0.7818672495818005, 0.5914288492511868, 1.0]",[1],[1]
185,"[1.0, 0.2718272926673853, 0.240978727508711, 1.0]",[0],[0]
186,"[0.0, 0.651140140850763, 0.44950972993500277, 1.0]",[0],[0]
187,"[1.0, 0.23348777356742792, 0.20580088009091008, 1.0]",[0],[0]
188,"[0.0, 0.4286559468271652, 0.2793463720225756, 1.0]",[0],[0]
189,"[1.0, 0.5260229542650735, 0.20699116043025884, 1.0]",[0],[0]
190,"[0.0, 0.27009536594470046, 0.31935734817408096, 1.0]",[0],[0]
191,"[0.0, 0.23543110157384275, 0.5533709020208752, 1.0]",[0],[0]
192,"[1.0, 0.1930623588607868, 0.3217943411437564, 1.0]",[0],[0]
193,"[1.0, 0.4539455433543357, 0.1451890639665763, 1.0]",[0],[0]
194,"[1.0, 0.4158054457959748, 0.18484933751587837, 1.0]",[0],[0]
195,"[0.0, 0.29955639106917653, 0.521259034723882, 1.0]",[0],[0]
196,"[0.0, 0.5672660816037908, 0.48108366866402036, 1.0]",[0],[0]
197,"[0.0, 0.21667963860169498, 0.34208511066520414, 1.0]",[0],[0]
198,"[0.0, 0.5496863791886009, 0.6729913760171224, 1.0]",[0],[0]
199,"[0.0, 0.670012426176192, 0.4646636125233286, 1.0]",[0],[0]
200,"[0.0, 0.27025423868451476, 0.5975962461472218, 1.0]",[0],[0]
201,"[1.0, 0.02221732416143229, 0.2767564746347405, 1.0]",[0],[0]
202,"[0.0, 0.5883351681216308, 0.4421526686463681, 1.0]",[0],[0]
203,"[0.0, 0.4251222037603616, 0.7008054995342516, 1.0]",[0],[0]
204,"[0.0, 0.43870945096463665, 0.49772772071672977, 1.0]",[0],[0]
205,"[1.0, 0.30541449431578055, 0.2631654268770658, 1.0]",[0],[0]
206,"[0.0, 0.17193577861502543, 0.6438631336141994, 1.0]",[0],[0]
207,"[0.0, 0.2561209677553524, 0.5897119058628912, 1.0]",[0],[0]
208,"[0.0, 0.08888878082616286, 0.4199449146985251, 1.0]",[0],[0]
209,"[0.0, 0.7011434434636704, 0.7543012758580052, 1.0]",[0],[1]
210,"[0.0, 0.5636302379097121, 0.3320032806722664, 1.0]",[0],[0]
211,"[0.0, 0.24772087569359544, 0.5500696240590527, 1.0]",[0],[0]
212,"[0.0, 0.20646992507816425, 0.45112200606789826, 1.0]",[0],[0]
213,"[0.0, 0.4571233978759634, 0.5299664127271648, 1.0]",[0],[0]
214,"[0.0, 0.2511111334871907, 0.7021562379175532, 1.0]",[0],[0]
215,"[1.0, 0.35163412824771906, 0.20314927921043904, 1.0]",[0],[0]
216,"[0.0, 0.14174658528768058, 0.3441661655540062, 1.0]",[0],[0]
217,"[0.0, 0.35984147169458425, 0.35174802294958774, 1.0]",[0],[0]
218,"[0.0, 0.416185083526939, 0.6972078709467425, 1.0]",[0],[0]
219,"[0.0, 0.08213549576500305, 0.3907467077246165, 1.0]",[0],[0]
220,"[0.0, 0.22343188136301337, 0.6459764297361529, 1.0]",[0],[0]
221,"[0.0, 0.5108146444820051, 0.6150672381057278, 1.0]",[0],[0]
222,"[1.0, 0.6545352590935428, 0.25323122694051936, 1.0]",[0],[0]
223,"[0.0, 0.2616632842141791, 0.5782122490283813, 1.0]",[0],[0]
224,"[1.0, 0.12083142139540766, 0.16237196940045986, 1.0]",[0],[0]
225,"[0.0, 0.21422787838278176, 0.375786959515736, 1.0]",[0],[0]
226,"[0.0, 0.0, 0.30303009293658295, 1.0]",[0],[0]
227,"[0.0, 0.750148279641502, 0.41270639932088465, 1.0]",[1],[0]
228,"[0.0, 0.11822417091930729, 0.5076620517291626, 1.0]",[0],[0]
229,"[0.0, 0.5469512331043821, 0.37209613858352325, 1.0]",[0],[0]
230,"[1.0, 0.3825877857431899, 0.2829119287863337, 1.0]",[0],[0]
231,"[0.0, 0.31543363657846535, 0.6965955761860866, 1.0]",[0],[0]
232,"[0.0, 0.15573221063542655, 0.5811747976343783, 1.0]",[0],[0]
233,"[0.0, 0.3614790634625563, 0.4202325700741627, 1.0]",[0],[0]
234,"[1.0, 0.22655336786767397, 0.20781395179799048, 1.0]",[0],[0]
235,"[1.0, 0.16249072102229672, 0.20381720675412424, 1.0]",[0],[0]
236,"[0.0, 0.4516530198099027, 0.5427575158914203, 1.0]",[0],[0]
237,"[1.0, 0.534384560801023, 0.19421080301555818, 1.0]",[0],[0]
238,"[0.0, 0.4046041889220627, 0.38572273071416596, 1.0]",[0],[0]
239,"[0.0, 0.10397684659560384, 0.47883727377277957, 1.0]",[0],[0]
240,"[1.0, 0.35656931484427085, 0.19794992870941547, 1.0]",[0],[0]
241,"[0.0, 0.44283254930202576, 0.504115600306318, 1.0]",[0],[0]
242,"[0.0, 0.31985459125296606, 0.5991539993828432, 1.0]",[0],[0]
243,"[1.0, 0.4631846592861138, 0.1564402648096639, 1.0]",[0],[0]
244,"[0.0, 0.0580986142356497, 0.3899505401501879, 1.0]",[0],[0]
245,"[0.0, 0.3998820059013053, 0.5470186107710094, 1.0]",[0],[0]
246,"[0.0, 0.3784927205471653, 0.7661391789636273, 1.0]",[0],[0]
247,"[0.0, 0.3202460839861387, 0.4224966974444124, 1.0]",[0],[0]
248,"[0.0, 0.39565805094519907, 0.4675804699164348, 1.0]",[0],[0]
249,"[0.0, 0.20898275813029893, 0.3763585886009191, 1.0]",[0],[0]
250,"[1.0, 0.5810112308670655, 0.22662046455913773, 1.0]",[0],[0]
251,"[0.0, 0.3411536186248374, 0.5811043649548552, 1.0]",[0],[0]
252,"[0.0, 0.3514542680060451, 0.8301600501286771, 1.0]",[0],[0]
253,"[0.0, 0.010274515515404333, 0.6991800837994232, 1.0]",[0],[0]
254,"[0.0, 0.7401047972701265, 0.5259883160447589, 1.0]",[1],[1]
255,"[0.0, 0.2628029521759227, 0.5630963805080528, 1.0]",[0],[0]
256,"[1.0, 0.3071750104422877, 0.3475077015370512, 1.0]",[0],[0]
257,"[0.0, 0.48053515218264864, 0.5393390519652738, 1.0]",[0],[0]
258,"[1.0, 0.3923557567631523, 0.3307936791427196, 1.0]",[0],[0]
259,"[0.0, 0.3443012472422267, 0.19851726086873772, 1.0]",[0],[0]
260,"[1.0, 0.1242367202395373, 0.23344706255989278, 1.0]",[0],[0]
261,"[0.0, 0.07481938792807825, 0.794516346782361, 1.0]",[0],[0]
262,"[0.0, 0.11442283633728172, 0.38850216067362336, 1.0]",[0],[0]
263,"[0.0, 0.057854062045245555, 0.6682025179579549, 1.0]",[0],[0]
264,"[0.0, 0.09356903299759298, 0.5096927340449047, 1.0]",[0],[0]
265,"[0.0, 0.1781825838639139, 0.865428118150776, 1.0]",[0],[0]
266,"[0.0, 0.4147848840810975, 0.6796338306711692, 1.0]",[0],[0]
267,"[1.0, 0.36444291136526885, 0.19171116800043767, 1.0]",[0],[0]
268,"[0.0, 0.5868318210770476, 0.6218313469829052, 1.0]",[0],[0]
269,"[1.0, 0.4844763061684481, 0.32060849292803806, 1.0]",[0],[0]
270,"[0.0, 0.3211825302276297, 0.4598053878410347, 1.0]",[0],[0]
271,"[0.0, 0.182616643464061, 0.3269697543575637, 1.0]",[0],[0]
272,"[0.0, 0.00016793617043025144, 0.4281657065860139, 1.0]",[0],[0]
273,"[0.0, 0.584340330381909, 0.4258738382547125, 1.0]",[0],[0]
274,"[0.0, 0.14140316757039104, 0.43635970513340316, 1.0]",[0],[0]
275,"[1.0, 0.19378513766595037, 0.24954864414150638, 1.0]",[0],[0]
276,"[0.0, 0.5522101737946413, 0.3400457776157519, 1.0]",[0],[0]
277,"[1.0, 0.35808657979029296, 0.23577388226256282, 1.0]",[0],[0]
278,"[0.0, 0.25134269256955605, 0.6057945681379208, 1.0]",[0],[0]
279,"[1.0, 0.729311395119596, 0.23629150066315976, 1.0]",[0],[0]
280,"[0.0, 0.11553158624078252, 0.4034452728244315, 1.0]",[0],[0]
281,"[0.0, 0.0, 0.5554626694093742, 1.0]",[0],[0]
282,"[0.0, 0.16042507868116782, 0.18917983336762081, 1.0]",[0],[0]
283,"[0.0, 0.3435627793492421, 0.556142538048748, 1.0]",[0],[0]
284,"[1.0, 0.4387675938600765, 0.23573991643347209, 1.0]",[0],[0]
285,"[0.0, 0.4053102590948991, 0.3051603115874927, 1.0]",[0],[0]
286,"[0.0, 0.4738026697927615, 0.4148299936932714, 1.0]",[0],[0]
287,"[0.0, 0.24847891649021636, 0.289400224733157, 1.0]",[0],[0]
288,"[0.0, 0.24425119251217942, 0.6130657767819058, 1.0]",[0],[0]
289,"[0.0, 0.408927528934976, 0.5290143929010935, 1.0]",[0],[0]
290,"[1.0, 0.3099191227690481, 0.13947647607723432, 1.0]",[0],[0]
291,"[0.0, 0.36509617831016783, 0.6103186093519964, 1.0]",[0],[0]
292,"[0.0, 0.3866745000325838, 0.7613140593238118, 1.0]",[0],[1]
293,"[1.0, 0.2862513144672134, 0.1847391120383522, 1.0]",[0],[0]
294,"[0.0, 0.4246882297549354, 0.6426548909321541, 1.0]",[0],[0]
295,"[0.0, 0.49243964573806953, 0.4761275551632819, 1.0]",[0],[0]
296,"[0.0, 0.2567795475059095, 0.4013115351844207, 1.0]",[0],[0]
297,"[0.0, 0.0, 0.326914855819332, 1.0]",[0],[0]
298,"[0.0, 0.032673315396613646, 0.6936527077863162, 1.0]",[0],[0]
299,"[0.0, 0.21148268265341386, 0.5994870604622606, 1.0]",[0],[0]
300,"[0.0, 0.35627535479319977, 0.5379919923627462, 1.0]",[0],[0]
301,"[1.0, 0.41747200435219445, 0.20012202679301017, 1.0]",[0],[0]
302,"[0.0, 0.46744680402401856, 0.697138641307535, 1.0]",[0],[0]
303,"[1.0, 0.0, 0.26075621979696917, 1.0]",[0],[0]
304,"[0.0, 0.0, 0.48744301767712794, 1.0]",[0],[0]
305,"[1.0, 0.42510138714956247, 0.2046807507690646, 1.0]",[0],[0]
306,"[0.0, 0.4270072331253833, 0.49029775210728266, 1.0]",[0],[0]
307,"[0.0, 0.4349126739296513, 0.2704677141083419, 1.0]",[0],[0]
308,"[0.0, 0.0, 0.5199295785854187, 1.0]",[0],[0]
309,"[0.0, 0.3309487470900372, 0.6450863012231962, 1.0]",[0],[0]
310,"[1.0, 0.6288904450021903, 0.17860704847486417, 1.0]",[0],[0]
311,"[0.0, 0.16627104301131485, 0.7584121632676255, 1.0]",[0],[0]
312,"[0.0, 0.46697127176904213, 0.5432678150639833, 1.0]",[0],[0]
313,"[0.0, 0.33783456950863083, 0.6585593995063787, 1.0]",[0],[0]
314,"[0.0, 0.3435647017606499, 0.545888972127179, 1.0]",[0],[0]
315,"[0.0, 0.15779858453797818, 0.49640960223025155, 1.0]",[0],[0]
316,"[1.0, 0.42525680119144643, 0.23284482601867057, 1.0]",[0],[0]
317,"[0.0, 0.40612257031113763, 0.23265628036328725, 1.0]",[0],[0]
318,"[1.0, 0.5721669475036707, 0.31746541380597526, 1.0]",[0],[0]
319,"[0.0, 0.566880070118501, 0.5145659846402891, 1.0]",[0],[0]
320,"[0.0, 0.04910737816065654, 0.7293093557694887, 1.0]",[0],[0]
321,"[0.0, 0.36458290083126654, 0.42413777977037986, 1.0]",[0],[0]
322,"[0.0, 0.24649513021359315, 0.5074673995037887, 1.0]",[0],[0]
323,"[0.0, 0.3186704999415263, 0.6005403531729, 1.0]",[0],[0]
324,"[0.0, 0.12040826246583528, 0.7194527232175273, 1.0]",[0],[0]
325,"[0.0, 0.4393212213706462, 0.31906723340812204, 1.0]",[0],[0]
326,"[0.0, 0.35148849474277316, 0.4305097383112383, 1.0]",[0],[0]
327,"[1.0, 0.3841461336385815, 0.02653138894694898, 1.0]",[0],[0]
328,"[0.0, 0.35298828163227736, 0.5422822299184741, 1.0]",[0],[0]
329,"[1.0, 0.5593914757857222, 0.30492605191146477, 1.0]",[0],[0]
330,"[0.0, 0.0, 0.364456114545901, 1.0]",[0],[0]
331,"[0.0, 0.5459531260830447, 0.5457854881270554, 1.0]",[0],[0]
332,"[0.0, 0.4847324630523732, 0.6052834113388557, 1.0]",[0],[0]
333,"[0.0, 0.15635011277544136, 0.5095657072217891, 1.0]",[0],[0]
334,"[1.0, 0.17168219960165082, 0.2515563519045564, 1.0]",[0],[0]
335,"[0.0, 0.46552021226526313, 0.7199463852328492, 1.0]",[0],[0]
336,"[1.0, 0.11728863206564537, 0.30057865730029265, 1.0]",[0],[0]
337,"[1.0, 0.6345405627141831, 0.2689145530628161, 1.0]",[0],[0]
338,"[1.0, 0.4688049501787457, 0.2536343093355146, 1.0]",[0],[0]
339,"[0.0, 0.22910118464817666, 0.6346438763831193, 1.0]",[0],[0]
340,"[0.0, 0.41078290930378614, 0.652754872187436, 1.0]",[0],[0]
341,"[0.0, 0.08194648765252412, 0.5337054584564876, 1.0]",[0],[0]
342,"[1.0, 0.2521851692979761, 0.22029028391524097, 1.0]",[0],[0]
343,"[0.0, 0.014457897818068366, 0.45076074718537223, 1.0]",[0],[0]
